0.4941	0.7700
0.5229	0.7690
0.5450	0.8676
0.5774	0.7901
0.5889	0.8676
0.6129	0.8784
0.6209	0.8832
0.6292	0.8832
0.6318	0.8738
0.6494	0.8628
0.6558	0.8894
0.6792	0.9030
0.6824	0.9012
0.6791	0.8880
0.6948	0.8902
0.7012	0.8914
0.7129	0.8960
0.7323	0.8934
0.7399	0.8948
0.7569	0.9064
0.7593	0.8978
0.7735	0.9022
0.7804	0.9022
0.7903	0.9022
0.7872	0.8896
0.7859	0.9060
0.7860	0.9091
0.7789	0.8974
0.7855	0.8978
0.7843	0.8907
0.7908	0.8934
0.8025	0.8978
0.8050	0.8999
0.8016	0.9018
0.7989	0.8878
0.7974	0.8946
0.7976	0.8920
0.7831	0.8900
0.7760	0.8940
0.7910	0.8940
0.7877	0.8940
0.7873	0.8932
0.8055	0.8940
0.8076	0.8940
0.7999	0.8940
0.8011	0.8940
0.8046	0.8940
0.8056	0.8940
0.8077	0.8882
0.8002	0.8932
0.7873	0.8819
0.7877	0.8685
0.7930	0.9130
0.7958	0.9022
0.7941	0.8781
0.7853	0.8685
0.7656	0.8685
0.7670	0.8685
0.7685	0.8744
0.7607	0.8694
0.7704	0.8776
0.7741	0.8685
0.7763	0.8685
0.7775	0.8685
0.7726	0.8847
0.7776	0.8685
0.7680	0.8685
0.7575	0.8730
0.7647	0.8820
0.7588	0.8916
0.7587	0.9175
0.7652	0.9112
0.7709	0.9012
0.7692	0.9094
0.7775	0.9067
0.7663	0.9016
0.7674	0.9097
0.7655	0.9097
0.7818	0.9156
0.7772	0.9156
0.7820	0.9097
0.7727	0.9097
0.7811	0.9154
0.7833	0.9175
0.7768	0.9085
0.7786	0.9085
0.7809	0.9085
0.7677	0.9120
0.7771	0.9100
0.7833	0.9120
0.7758	0.9120
0.8019	0.9120
0.7899	0.9105
0.7943	0.9085
0.7856	0.9120
0.7811	0.9109
0.7867	0.9120
0.7869	0.9100
0.7854	0.9109
0.7868	0.9055
0.7908	0.9046
0.7856	0.8972
0.7740	0.9110
0.7823	0.9118
0.7824	0.9046
0.7887	0.9046
0.7996	0.8972
0.8014	0.8972
0.7970	0.9184
0.8027	0.9184
0.7994	0.9184
0.7993	0.9184
0.7945	0.9184
0.7995	0.8996
0.7981	0.9064
0.7948	0.8972
0.7913	0.9233
0.7888	0.8983
0.7850	0.9030
